"","Year","OSPR","BAEAA","NOHA","RSHA","MERL"
"1",1934,0.0777777777777778,0.0182098765432099,0.291402116402116,0.193350970017637,0.0222222222222222
"2",1935,0.263399652098282,0.0709665144596651,0.226000217438574,0.351837355946945,0.0302511415525114
"3",1936,0.329495614035088,0.0444078947368421,0.244569757727652,0.338006474519632,0.0661549707602339
"4",1937,0.323646125116713,0.021078431372549,0.20828197945845,0.217745098039216,0.0130718954248366
"5",1938,0.251167471819646,0.0360305958132045,0.426299746951921,0.251207729468599,0.0324074074074074
"6",1939,0.299259259259259,0.0525925925925926,0.436111111111111,0.466111111111111,0.0877777777777778
"7",1940,0.130214692714693,0.0466676841676842,0.239565527065527,0.218340455840456,0.016025641025641
"8",1941,0.27694109772423,0.0485609103078983,0.352409638554217,0.268674698795181,0.0513052208835341
"9",1942,0.321771771771772,0.0500750750750751,0.175611325611326,0.19248712998713,0.0257132132132132
"10",1946,0.28454415954416,0.0816951566951567,0.276938339438339,0.35954415954416,0.0293803418803419
"11",1947,0.416748935346496,0.116952187379017,0.293142663569493,0.393510452961672,0.013550135501355
"12",1948,0.270032510996366,0.0852935551730732,0.322011856951616,0.427878179384203,0.0254350736278447
"13",1949,0.340940656565657,0.111458333333333,0.308549783549784,0.426627886002886,0.0303030303030303
"14",1950,0.504573170731707,0.14800135501355,0.333333333333333,0.495189701897019,0.059789972899729
"15",1951,0.400713213213213,0.137575075075075,0.361261261261261,0.654992492492492,0.0225225225225225
"16",1952,0.482554200542005,0.113143631436314,0.489532520325203,0.598712737127371,0.0661924119241192
"17",1953,0.416069199215267,0.088808632067059,0.349794899233101,0.25252808988764,0.0142455858747994
"18",1954,0.442677626606198,0.119520030234316,0.238392857142857,0.429298941798942,0.0291005291005291
"19",1955,0.520051085568327,0.134701696770662,0.316776135741653,0.578379857690203,0.0303320561941252
"20",1956,0.458687830687831,0.0724391534391534,0.222031746031746,0.436481481481481,0.0177777777777778
"21",1957,0.52442405785429,0.0745893318567737,0.315527786167321,0.31766334440753,0.0290697674418605
"22",1958,0.496318607764391,0.052710843373494,0.315763052208835,0.66802925989673,0.0254350736278447
"23",1959,0.452723214285714,0.0561805555555556,0.396215277777778,0.534627976190476,0.0237103174603175
"24",1960,0.370915032679739,0.0369281045751634,0.339869281045752,0.450555555555556,0.0343137254901961
"25",1961,0.402913279132791,0.0410569105691057,0.373915989159892,0.442073170731707,0.0203252032520325
"26",1962,0.45868660472319,0.0458865660085172,0.276906697638405,0.382888114595432,0.0281165311653117
"27",1963,0.246811868686869,0.0172032828282828,0.231155303030303,0.271058802308802,0.0328914141414141
"28",1964,0.425725647277371,0.0262103796586555,0.241904678973645,0.308269476372925,0.0127713920817369
"29",1965,0.617670682730924,0.0398259705488621,0.245883534136546,0.430689424364123,0.0271084337349398
"30",1966,0.779310344827586,0.0344827586206897,0.277586206896552,0.339655172413793,0.0362068965517241
"31",1967,0.695970695970696,0.043956043956044,0.269230769230769,0.256410256410256,0.0293040293040293
"32",1968,0.409001956947162,0.060665362035225,0.469667318982387,0.534246575342466,0.025440313111546
"33",1969,0.448275862068966,0.0374005305039788,0.289124668435013,0.246684350132626,0.0358090185676393
"34",1970,0.782022471910112,0.0449438202247191,0.559550561797753,0.292134831460674,0.0337078651685393
"35",1971,0.835443037974684,0.0379746835443038,0.430379746835443,0.275316455696203,0.0379746835443038
"36",1972,0.649164677804296,0.0214797136038186,0.367541766109785,0.293556085918854,0.0167064439140811
"37",1973,0.681102362204724,0.0177165354330709,0.352362204724409,0.228346456692913,0.0255905511811024
"38",1974,0.344632768361582,0.0188323917137476,0.306967984934087,0.342749529190207,0.0188323917137476
"39",1975,0.4,0.0306122448979592,0.544897959183673,0.418367346938776,0.0387755102040816
"40",1976,0.563734290843806,0.0233393177737881,0.44524236983842,0.299820466786355,0.0359066427289048
"41",1977,0.623853211009174,0.0220183486238532,0.536391437308869,0.488073394495413,0.0495412844036697
"42",1978,0.578901633646159,0.0306569343065693,0.283211678832117,0.240875912408759,0.0233576642335766
"43",1979,0.582165605095541,0.0101910828025478,0.303312101910828,0.299617834394904,0.0679405520169851
"44",1980,0.413600891861761,0.0111482720178372,0.545165025476756,0.390983869244739,0.0330732069862505
"45",1981,0.653570019723866,0.0168047337278107,0.343510848126233,0.297751479289941,0.0594082840236686
"46",1982,0.517836979534227,0.0126146788990826,0.341016366295584,0.36697247706422,0.0217889908256881
"47",1983,0.516229985443959,0.0149719276356831,0.355713245997089,0.49235807860262,0.0240174672489083
"48",1984,0.637850477706296,0.01956745623069,0.334824187141386,0.215805992839978,0.0216271884654995
"49",1985,0.527409349619492,0.0255164034021871,0.461806399351964,0.246658566221142,0.0437424058323208
"50",1986,1.024410430839,0.028968253968254,0.386655328798186,0.210714285714286,0.100918367346939
"51",1987,0.730163834022355,0.0260807431225438,0.392952028321803,0.37675793302803,0.0597152044097382
"52",1988,0.647417840375587,0.0223340040241449,0.30962441314554,0.367203219315895,0.048582403511981
"53",1989,0.841972255499235,0.0308499475341028,0.430420226852546,0.274306700644581,0.175751187260196
"54",1990,0.913200092958401,0.0261832829808661,0.335830366343962,0.331458739313724,0.159986572675394
"55",1991,0.631242891962947,0.0367092756473287,0.196352909627246,0.162569649295313,0.0892919656617642
"56",1992,0.564868861767581,0.0352822580645161,0.165468309757921,0.244959677419355,0.0749327956989247
"57",1993,0.73608339964649,0.0422456920511395,0.358669576780128,0.241731517509728,0.0783398184176394
"58",1994,0.440814862126338,0.039344262295082,0.285433072663444,0.237097753491196,0.0496660595021251
"59",1995,0.484879677284741,0.0522557611165206,0.273700982561742,0.390847127555988,0.168108684564381
"60",1996,0.581288859015292,0.039279112754159,0.119606548719303,0.287430683918669,0.117018748349617
"61",1997,0.650852166479671,0.0536308983175468,0.198858944122608,0.276195194451325,0.142338134163747
"62",1998,0.558832932771812,0.0577249575551783,0.270446644470414,0.312393887945671,0.129436494461961
"63",1999,0.635017676824301,0.0707581227436823,0.34328301061153,0.302346570397112,0.119713022550097
"64",2000,0.506381715642624,0.0483823092905907,0.124589746851546,0.173642030276046,0.211422468581394
"65",2001,0.594704455395245,0.0581483268983269,0.272850975975976,0.232263513513514,0.20850663975664
"66",2002,0.687505013560911,0.151112120393784,0.169831586183193,0.226843100189036,0.114366729678639
"67",2003,0.747939526413798,0.138317757009346,0.403111950686021,0.21829808165273,0.145981308411215
"68",2004,0.665485748268978,0.0805063506223185,0.171602735652691,0.188819506393101,0.0994944989592626
"69",2005,0.439814814814815,0.0763888888888889,0.180320692039442,0.298611111111111,0.17980775012025
"70",2006,0.611255032183228,0.0726795096322242,0.245596697523142,0.229090736971648,0.197446549285428
"71",2007,0.686005314437555,0.0932979037496309,0.279303218187186,0.197519929140833,0.222911130794213
"72",2008,0.476855123674912,0.1110550227158,0.134275618374558,0.121908127208481,0.145023557126031
"73",2009,0.445539686536916,0.0982280262058655,0.137119113573407,0.13419513696522,0.161588180978763
"74",2010,0.591695702671312,0.191019955654102,0.164137140443761,0.14808362369338,0.25931464106401
