"length","species","meadow","tree","robin","pied","wren"
21.7,"Meadow Pipit",1,0,0,0,0
22.6,"Meadow Pipit",1,0,0,0,0
20.9,"Meadow Pipit",1,0,0,0,0
21.6,"Meadow Pipit",1,0,0,0,0
22.2,"Meadow Pipit",1,0,0,0,0
22.5,"Meadow Pipit",1,0,0,0,0
22.2,"Meadow Pipit",1,0,0,0,0
24.3,"Meadow Pipit",1,0,0,0,0
22.3,"Meadow Pipit",1,0,0,0,0
22.6,"Meadow Pipit",1,0,0,0,0
20.1,"Meadow Pipit",1,0,0,0,0
22,"Meadow Pipit",1,0,0,0,0
22.8,"Meadow Pipit",1,0,0,0,0
22,"Meadow Pipit",1,0,0,0,0
22.4,"Meadow Pipit",1,0,0,0,0
22.3,"Meadow Pipit",1,0,0,0,0
20.6,"Meadow Pipit",1,0,0,0,0
22.1,"Meadow Pipit",1,0,0,0,0
21.9,"Meadow Pipit",1,0,0,0,0
23,"Meadow Pipit",1,0,0,0,0
22,"Meadow Pipit",1,0,0,0,0
22,"Meadow Pipit",1,0,0,0,0
22.1,"Meadow Pipit",1,0,0,0,0
22,"Meadow Pipit",1,0,0,0,0
19.6,"Meadow Pipit",1,0,0,0,0
22.8,"Meadow Pipit",1,0,0,0,0
22,"Meadow Pipit",1,0,0,0,0
23.4,"Meadow Pipit",1,0,0,0,0
23.8,"Meadow Pipit",1,0,0,0,0
23.3,"Meadow Pipit",1,0,0,0,0
22.5,"Meadow Pipit",1,0,0,0,0
22.3,"Meadow Pipit",1,0,0,0,0
21.9,"Meadow Pipit",1,0,0,0,0
22,"Meadow Pipit",1,0,0,0,0
21.7,"Meadow Pipit",1,0,0,0,0
23.3,"Meadow Pipit",1,0,0,0,0
22.2,"Meadow Pipit",1,0,0,0,0
22.3,"Meadow Pipit",1,0,0,0,0
22.8,"Meadow Pipit",1,0,0,0,0
22.9,"Meadow Pipit",1,0,0,0,0
23.7,"Meadow Pipit",1,0,0,0,0
22,"Meadow Pipit",1,0,0,0,0
21.9,"Meadow Pipit",1,0,0,0,0
22.2,"Meadow Pipit",1,0,0,0,0
24.4,"Meadow Pipit",1,0,0,0,0
22.7,"Tree Pipit",0,1,0,0,0
23.3,"Tree Pipit",0,1,0,0,0
24,"Tree Pipit",0,1,0,0,0
23.6,"Tree Pipit",0,1,0,0,0
22.1,"Tree Pipit",0,1,0,0,0
21.8,"Tree Pipit",0,1,0,0,0
21.1,"Tree Pipit",0,1,0,0,0
23.4,"Tree Pipit",0,1,0,0,0
23.8,"Tree Pipit",0,1,0,0,0
23.3,"Tree Pipit",0,1,0,0,0
24,"Tree Pipit",0,1,0,0,0
23.5,"Tree Pipit",0,1,0,0,0
23.2,"Tree Pipit",0,1,0,0,0
24,"Tree Pipit",0,1,0,0,0
22.4,"Tree Pipit",0,1,0,0,0
22,"Hedge Sparrow",0,0,0,0,0
23.9,"Hedge Sparrow",0,0,0,0,0
20.9,"Hedge Sparrow",0,0,0,0,0
23.8,"Hedge Sparrow",0,0,0,0,0
25,"Hedge Sparrow",0,0,0,0,0
24,"Hedge Sparrow",0,0,0,0,0
21.7,"Hedge Sparrow",0,0,0,0,0
23.8,"Hedge Sparrow",0,0,0,0,0
22.8,"Hedge Sparrow",0,0,0,0,0
23.1,"Hedge Sparrow",0,0,0,0,0
23.1,"Hedge Sparrow",0,0,0,0,0
23.5,"Hedge Sparrow",0,0,0,0,0
23,"Hedge Sparrow",0,0,0,0,0
23,"Hedge Sparrow",0,0,0,0,0
21.8,"Robin",0,0,1,0,0
23,"Robin",0,0,1,0,0
23.3,"Robin",0,0,1,0,0
22.4,"Robin",0,0,1,0,0
22.4,"Robin",0,0,1,0,0
23,"Robin",0,0,1,0,0
23,"Robin",0,0,1,0,0
23,"Robin",0,0,1,0,0
23.9,"Robin",0,0,1,0,0
22.3,"Robin",0,0,1,0,0
22,"Robin",0,0,1,0,0
22.6,"Robin",0,0,1,0,0
22,"Robin",0,0,1,0,0
22.1,"Robin",0,0,1,0,0
21.1,"Robin",0,0,1,0,0
23,"Robin",0,0,1,0,0
23,"Pied Wagtail",0,0,0,1,0
23.4,"Pied Wagtail",0,0,0,1,0
24,"Pied Wagtail",0,0,0,1,0
23.3,"Pied Wagtail",0,0,0,1,0
23.1,"Pied Wagtail",0,0,0,1,0
22.4,"Pied Wagtail",0,0,0,1,0
21.8,"Pied Wagtail",0,0,0,1,0
21.8,"Pied Wagtail",0,0,0,1,0
24.9,"Pied Wagtail",0,0,0,1,0
24,"Pied Wagtail",0,0,0,1,0
22.1,"Pied Wagtail",0,0,0,1,0
21,"Pied Wagtail",0,0,0,1,0
22.6,"Pied Wagtail",0,0,0,1,0
21.9,"Pied Wagtail",0,0,0,1,0
24,"Pied Wagtail",0,0,0,1,0
19.8,"Wren",0,0,0,0,1
22.1,"Wren",0,0,0,0,1
21.5,"Wren",0,0,0,0,1
20.9,"Wren",0,0,0,0,1
22,"Wren",0,0,0,0,1
21,"Wren",0,0,0,0,1
22.3,"Wren",0,0,0,0,1
21,"Wren",0,0,0,0,1
20.3,"Wren",0,0,0,0,1
20.9,"Wren",0,0,0,0,1
22,"Wren",0,0,0,0,1
20,"Wren",0,0,0,0,1
20.8,"Wren",0,0,0,0,1
21.2,"Wren",0,0,0,0,1
21,"Wren",0,0,0,0,1
