order,family,Genus,species,mass,gestation
Artiodactyla,Bovidae,Bos,grunniens,333000,8.88
Artiodactyla,Bovidae,Bos,frontalis,800000,9.02
Artiodactyla,Bovidae,Gazella,soemmerringii,40000,6.5
Artiodactyla,Bovidae,Gazella,rufifrons,27000,5.75
Artiodactyla,Bovidae,Ovis,ammon,180000,5.61
Artiodactyla,Bovidae,Ovis,vignei,60000,6
Artiodactyla,Cervidae,Axis,porcinus,33500,7.45
Artiodactyla,Cervidae,Axis,axis,55000,7.72
Artiodactyla,Cervidae,Cervus,duvaucelii,143000,8.21
Artiodactyla,Cervidae,Cervus,elaphus,120333.33,8.03
Artiodactyla,Cervidae,Odocoileus,hemionus,55766.67,6.85
Artiodactyla,Cervidae,Odocoileus,virginianus,59500,6.84
Primates,Cebidae,Alouatta,pigra,11600,6.23
Primates,Cebidae,Alouatta,seniculus,5555.29,6.37
Primates,Cebidae,Aotus,trivirgatus,833.56,4.67
Primates,Cebidae,Aotus,lemurinus,874,4.43
Primates,Cebidae,Ateles,belzebuth,5400,4.63
Primates,Cebidae,Ateles,geoffroyi,6265.8,7.39
Primates,Cercopithecidae,Cercocebus,galeritus,5425.75,5.85
Primates,Cercopithecidae,Cercocebus,torquatus,7036.67,5.61
Primates,Cercopithecidae,Cercopithecus,nictitans,4225.33,5.67
Primates,Cercopithecidae,Cercopithecus,cephus,2866.25,5.67
Primates,Cercopithecidae,Colobus,guereza,9725.17,5.67
Primates,Cercopithecidae,Colobus,satanas,9500,6.5
Rodentia,Caviidae,Cavia,tschudii,637.5,2.11
Rodentia,Caviidae,Cavia,aperea,341,2.07
Rodentia,Caviidae,Dolichotis,salinicola,1600,2.57
Rodentia,Caviidae,Dolichotis,patagonum,12500,2.81
Rodentia,Caviidae,Galea,spixii,326,1.78
Rodentia,Caviidae,Galea,musteloides,337.85,1.78
Rodentia,Muridae,Acomys,russatus,54.43,1.13
Rodentia,Muridae,Acomys,wilsoni,20,1.27
Rodentia,Muridae,Apodemus,mystacinus,45.6,0.77
Rodentia,Muridae,Apodemus,flavicollis,29.35,0.85
Rodentia,Muridae,Gerbillurus,setzeri,38.6,0.7
Rodentia,Muridae,Gerbillurus,paeba,28.5,0.79
Carnivora,Canidae,Canis,rufus,26000,2.05
Carnivora,Canidae,Canis,lupus,34875,2.16
Carnivora,Canidae,Urocyon,cinereoargenteus,4220,2.14
Carnivora,Canidae,Urocyon,littoralis,1890.67,1.7
Carnivora,Canidae,Vulpes,vulpes,5662.5,1.73
Carnivora,Canidae,Vulpes,zerda,1200,1.71
Carnivora,Felidae,Lynx,rufus,8600,1.86
Carnivora,Felidae,Lynx,lynx,18026.67,2.33
Carnivora,Felidae,Panthera,tigris,119700,3.51
Carnivora,Felidae,Panthera,onca,81150,3.39
Carnivora,Felidae,Leopardus,wiedii,3666.67,2.67
Carnivora,Felidae,Leopardus,tigrinus,2250,2.51
